True_Label,Predicted_Label,Prediction_Probability
1,1,0.9292894822973631
1,1,0.8183771667232684
1,1,0.9748263763479029
1,1,0.9495590713148041
1,1,0.9999971703708196
1,0,0.1699413763603136
1,1,0.9923612936076496
1,1,0.9965932261315481
1,1,0.9192604293983162
1,0,0.12137690101610009
1,1,0.9966185317392809
1,1,0.6250040722254501
1,0,0.1699413763603136
1,1,0.6255176056921584
1,1,0.611514882913764
1,1,0.8919108329960577
1,1,0.9752349741285707
1,0,0.1699413763603136
1,0,0.1699413763603136
1,1,0.9634528092342062
1,1,0.5887600966497606
1,1,0.8931034964898286
1,1,0.5392747398466031
1,1,0.9397514849383497
1,1,0.9971140431980402
1,1,0.9999871255005574
1,1,0.9754423698196677
1,1,0.982044447100923
1,1,0.966680222399193
1,1,0.5263524446924753
1,1,0.9548783802792266
1,1,0.8544912502731167
1,1,0.925745674721071
1,1,0.6384750654453956
1,0,0.1699413763603136
1,1,0.9999818181327347
1,1,0.9667047592872201
1,0,0.27933779129903735
1,0,0.1699413763603136
1,0,0.1699413763603136
1,0,0.1699413763603136
1,1,0.660766554348743
1,0,0.1699413763603136
1,1,0.9947886266311133
1,1,0.9010343895401786
1,1,0.9719779956005902
1,1,0.9972091357268922
1,1,0.9906228019609099
1,1,0.989180845528711
1,1,0.994041590856208
1,0,0.1699413763603136
1,1,0.8784872109060934
1,1,0.8631345546763076
1,0,0.1699413763603136
1,1,0.9999984014451824
1,1,0.9859913804476734
1,1,0.9999939846410694
1,1,0.9725166633613492
1,1,0.8749970945131252
1,0,0.1699413763603136
1,1,0.9755121041513339
1,0,0.1699413763603136
1,1,0.8857280405103759
1,1,0.9824740276422783
1,0,0.1699413763603136
1,1,0.9087727790891944
1,1,0.9258631115159855
1,0,0.1699413763603136
1,0,0.42822931097321587
1,0,0.1699413763603136
1,1,0.9936908121528624
1,1,0.966801254686121
1,1,0.9297454760072447
1,1,0.5639840125310127
1,1,0.9637574445832574
1,0,0.0254700907171609
1,1,0.996148489278243
1,0,0.1699413763603136
1,1,0.9061897102681297
1,0,0.36010989358268003
1,1,0.717519641384202
1,1,0.9642515187866706
1,0,0.1699413763603136
1,0,0.1699413763603136
1,1,0.9887025184910105
1,1,0.9759216116078657
1,0,0.1699413763603136
1,1,0.9935739364338263
1,1,0.9911126193444828
1,1,0.984978642017155
1,1,0.48943217043785625
1,0,0.1699413763603136
1,1,0.9481739877149361
1,0,0.37736814167303284
1,1,0.9815554672660151
1,1,0.9443959336351495
1,1,0.9753425955692594
1,1,0.9213468807375598
1,0,0.1699413763603136
1,1,0.899820803924011
1,1,0.9898718399411588
1,0,0.1699413763603136
1,0,0.1699413763603136
1,1,0.996547157269295
1,0,0.1699413763603136
1,1,0.9770098608524451
1,1,0.9709007653703503
1,0,0.1699413763603136
1,1,0.9565158889288843
1,1,0.9880491378585274
1,0,0.1699413763603136
